532782,SUTLEJTEX,SUTLEJ TEXTILES & INDUSTRIES LTD.,26-Sep-17,Stock  Split From Rs.10/- to Rs.1/-,27-Sep-17,-,-,20-Sep-17,26-Sep-17,-
504000,ELPROINTL,ELPRO INTERNATIONAL LTD.,27-Sep-17,Stock  Split From Rs.2/- to Rs.1/-,28-Sep-17,-,-,21-Sep-17,27-Sep-17,-
532928,TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LTD.,28-Sep-17,Stock  Split From Rs.10/- to Rs.1/-,30-Sep-17,-,-,25-Sep-17,28-Sep-17,-
520051,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,05-Oct-17,Stock  Split From Rs.5/- to Rs.1/-,06-Oct-17,-,-,28-Sep-17,05-Oct-17,-
519552,HERITGFOOD,Heritage Foods Limited,10-Oct-17,Stock  Split From Rs.10/- to Rs.5/-,11-Oct-17,-,-,04-Oct-17,10-Oct-17,-
511196,CANFINHOME,CAN FIN HOMES LTD.,12-Oct-17,Stock  Split From Rs.10/- to Rs.2/-,13-Oct-17,-,-,06-Oct-17,12-Oct-17,-
532486,POKARNA,POKARNA LTD.,18-Oct-17,Stock  Split From Rs.10/- to Rs.2/-,23-Oct-17,-,-,13-Oct-17,19-Oct-17,-
538598,VISHAL,Vishal Fabrics Ltd,24-Oct-17,Stock  Split From Rs.10/- to Rs.5/-,25-Oct-17,-,-,16-Oct-17,24-Oct-17,-
503811,SIYSIL,SIYARAM SILK MILLS LTD.-$,25-Oct-17,Stock  Split From Rs.10/- to Rs.2/-,26-Oct-17,-,-,17-Oct-17,25-Oct-17,-
505029,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,30-Oct-17,Stock  Split From Rs.10/- to Rs.5/-,31-Oct-17,-,-,24-Oct-17,30-Oct-17,-
512453,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,01-Nov-17,Stock  Split From Rs.10/- to Rs.1/-,02-Nov-17,-,-,26-Oct-17,01-Nov-17,-
532514,IGL,INDRAPRASTHA GAS LTD.,09-Nov-17,Stock  Split From Rs.10/- to Rs.2/-,10-Nov-17,-,-,03-Nov-17,09-Nov-17,-
530621,AAIL,Akar Auto Industries Ltd,29-Nov-17,Stock  Split From Rs.10/- to Rs.5/-,01-Dec-17,-,-,24-Nov-17,29-Nov-17,-
531963,UNICRSE,UNIVERSAL CREDIT & SECURITIES LTD.,04-Dec-17,Stock  Split From Rs.5/- to Rs.1/-,05-Dec-17,-,-,27-Nov-17,04-Dec-17,-
539773,ADVIKCA,Advik Capital Ltd,14-Dec-17,Stock  Split From Rs.10/- to Rs.1/-,15-Dec-17,-,-,08-Dec-17,14-Dec-17,-
513291,PREMPIPES,PREMIER PIPES LTD.,22-Dec-17,Stock  Split From Rs.10/- to Rs.5/-,26-Dec-17,-,-,18-Dec-17,22-Dec-17,-
531543,JINDWORLD,JINDAL WORLDWIDE LTD.,26-Dec-17,Stock  Split From Rs.10/- to Rs.5/-,27-Dec-17,-,-,19-Dec-17,26-Dec-17,-
530883,SUCROSA,SUPER CROP SAFE LTD.,04-Jan-18,Stock  Split From Rs.10/- to Rs.2/-,05-Jan-18,-,-,29-Dec-17,04-Jan-18,-
505729,SINGER,SINGER INDIA LTD.,17-Jan-18,Stock  Split From Rs.10/- to Rs.2/-,18-Jan-18,-,-,11-Jan-18,17-Jan-18,-
536799,SRSFIN,SRS Finance Ltd,09-Feb-18,Stock  Split From Rs.10/- to Rs.1/-,12-Feb-18,-,-,05-Feb-18,09-Feb-18,-
532240,INDNIPPON,INDIA NIPPON ELECTRICALS LTD.,21-Mar-18,Stock  Split From Rs.10/- to Rs.5/-,22-Mar-18,-,-,15-Mar-18,21-Mar-18,-
503101,MARATHON,MARATHON NEXTGEN REALTY LTD.,05-Apr-18,Stock  Split From Rs.10/- to Rs.5/-,06-Apr-18,-,-,28-Mar-18,05-Apr-18,-
540696,KCDGROUP,KCD Industries India Ltd,10-Apr-18,Stock  Split From Rs.10/- to Rs.5/-,11-Apr-18,-,-,04-Apr-18,10-Apr-18,-
590006,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.-$,13-Apr-18,Stock  Split From Rs.2/- to Rs.1/-,16-Apr-18,-,-,09-Apr-18,13-Apr-18,-
539310,THINKINK,Thinkink Picturez Ltd,17-Apr-18,Stock  Split From Rs.10/- to Rs.1/-,18-Apr-18,-,-,11-Apr-18,17-Apr-18,-
507552,FOODSIN,FOODS & INNS LTD.,19-Apr-18,Stock  Split From Rs.10/- to Rs.1/-,20-Apr-18,-,-,13-Apr-18,19-Apr-18,-
506590,PHILIPCARB,PHILLIPS CARBON BLACK LTD.,19-Apr-18,Stock  Split From Rs.10/- to Rs.2/-,20-Apr-18,-,-,13-Apr-18,19-Apr-18,-
539148,SHIVALIK,Shivalik Rasayan Ltd,19-Apr-18,Stock  Split From Rs.10/- to Rs.5/-,20-Apr-18,-,-,13-Apr-18,19-Apr-18,-
539620,AINFRA,A Infrastructure Ltd,20-Apr-18,Stock  Split From Rs.10/- to Rs.5/-,23-Apr-18,-,-,16-Apr-18,20-Apr-18,-
534309,NBCC,NBCC (India) Ltd,25-Apr-18,Stock  Split From Rs.2/- to Rs.1/-,26-Apr-18,-,-,19-Apr-18,25-Apr-18,-
506373,CITURGIA,CITURGIA BIOCHEMICALS LTD.,26-Apr-18,Stock  Split From Rs.10/- to Rs.2/-,30-Apr-18,-,-,23-Apr-18,26-Apr-18,-
539228,GGPL,Gala Global Products Ltd,10-May-18,Stock  Split From Rs.10/- to Rs.5/-,12-May-18,-,-,07-May-18,10-May-18,-
502850,ZGAEKWAR,GAEKWAR MILLS LTD.,31-May-18,Stock  Split From Rs.100/- to Rs.10/-,01-Jun-18,-,-,25-May-18,31-May-18,-
532796,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,07-Jun-18,Stock  Split From Rs.10/- to Rs.2/-,08-Jun-18,-,-,01-Jun-18,07-Jun-18,-
537766,BCP,B.C. Power Controls Ltd,14-Jun-18,Stock  Split From Rs.10/- to Rs.2/-,15-Jun-18,-,-,08-Jun-18,14-Jun-18,-
532432,UNITDSPR,UNITED SPIRITS LTD.,15-Jun-18,Stock  Split From Rs.10/- to Rs.2/-,18-Jun-18,-,-,11-Jun-18,15-Jun-18,-
